*Soil Organic Matter daily output file

*DSSAT Cropping System Model Ver. 4.7.5.035 -develop  MAY 07, 2021 11:55:39

*RUN   1        : 20 IRRIG, light rate,freq CRGRO047 UFGA7801    1
 MODEL          : CRGRO047 - Soybean
 EXPERIMENT     : UFGA7801 SB BRAGG, IRRIGATED & NON-IRRIGATED
 DATA PATH      :
 TREATMENT  1   : 20 IRRIG, light rate,freq CRGRO047
  
@YEAR DOY   DAS    OMAC    SCDD    SOCD    SC0D    SCTD   SOMCT    LCTD    ONAC    SNDD    SOND    SN0D    SNTD   SOMNT    LNTD
 2020 271   117    1000    8770   38818       1   38817   38764    52.5    8.00   874.1  3873.6    0.07  3873.5  3871.2    2.34
 2020 272   118    1000    8770   38816       1   38815   38763    52.1    8.00   874.1  3873.4    0.07  3873.3  3871.0    2.31
 2020 273   119    1000    8769   38814       1   38812   38761    51.6    8.00   874.0  3873.2    0.07  3873.1  3870.8    2.29
 2020 274   120    1000    8769   38812       1   38810   38759    51.1    8.00   874.0  3873.0    0.07  3873.0  3870.7    2.28
 2020 275   121    1000    8769   38810       1   38808   38758    50.8    8.00   874.0  3872.9    0.07  3872.8  3870.5    2.26
 2020 276   122    1000    8769   38808       1   38807   38756    50.5    8.00   874.0  3872.7    0.07  3872.6  3870.4    2.24
 2020 277   123    1000    8768   38806       1   38805   38755    50.2    8.00   873.9  3872.6    0.07  3872.5  3870.2    2.23
 2020 278   124    1000    8768   38805       1   38804   38754    49.8    8.00   873.9  3872.4    0.07  3872.3  3870.1    2.22
 2020 279   125    1000    8768   38803       1   38802   38752    49.6    8.00   873.9  3872.2    0.07  3872.2  3870.0    2.20
 2020 280   126    1000    8768   38802       1   38800   38751    49.4    8.00   873.8  3872.1    0.07  3872.0  3869.8    2.19
 2020 281   127    1000    8767   38800       1   38799   38750    49.0    8.00   873.8  3871.9    0.08  3871.9  3869.7    2.18
 2020 282   128    1000    8767   38798       1   38797   38748    48.7    8.00   873.8  3871.8    0.08  3871.7  3869.5    2.16
 2020 283   129    1000    8767   38796       1   38795   38746    48.3    8.00   873.8  3871.6    0.08  3871.5  3869.3    2.14
 2020 284   130    1000    8766   38794       1   38792   38744    48.0    8.00   873.7  3871.4    0.08  3871.3  3869.2    2.13
 2020 285   131    1000    8766   38792       2   38790   38743    47.6    8.00   873.7  3871.2    0.09  3871.1  3869.0    2.11
 2020 286   132    1000    8766   38790       2   38788   38741    47.3    8.00   873.6  3871.0    0.11  3870.9  3868.8    2.09
 2020 287   133    1000    8765   38788       2   38786   38739    46.9    8.00   873.6  3870.8    0.11  3870.7  3868.6    2.07
 2020 288   134    1000    8765   38786       2   38784   38737    46.6    8.00   873.6  3870.6    0.11  3870.5  3868.4    2.06
 2020 289   135    1000    8765   38784       2   38782   38736    46.3    8.00   873.5  3870.4    0.12  3870.3  3868.3    2.05
 2020 290   136    1000    8765   38783       2   38780   38734    46.0    8.00   873.5  3870.3    0.12  3870.2  3868.1    2.03

*DSSAT Cropping System Model Ver. 4.7.5.035 -develop  MAY 07, 2021 11:55:39

*RUN   2        : 20 RAINFED BRAGG          CRGRO047 UFGA7801    2
 MODEL          : CRGRO047 - Soybean
 EXPERIMENT     : UFGA7801 SB BRAGG, IRRIGATED & NON-IRRIGATED
 DATA PATH      :
 TREATMENT  2   : 20 RAINFED BRAGG          CRGRO047
  
@YEAR DOY   DAS    OMAC    SCDD    SOCD    SC0D    SCTD   SOMCT    LCTD    ONAC    SNDD    SOND    SN0D    SNTD   SOMNT    LNTD
 2020 154     0       0    8775   38959       0   38959   38919    40.0    0.00   877.5  3892.7    0.00  3892.7  3891.9    0.75
 2020 155     1       0    8775   38955       0   38955   38917    37.6    0.00   877.5  3892.5    0.00  3892.5  3891.7    0.78
 2020 156     2       0    8774   38951       0   38951   38915    35.4    0.00   877.4  3892.2    0.00  3892.2  3891.4    0.80
 2020 157     3       0    8774   38947       0   38947   38913    33.5    0.00   877.4  3892.0    0.00  3892.0  3891.2    0.81
 2020 158     4       0    8773   38943       0   38943   38911    31.9    0.00   877.3  3891.8    0.00  3891.8  3891.0    0.81
 2020 159     5       0    8773   38940       0   38940   38909    30.5    0.00   877.3  3891.6    0.00  3891.6  3890.8    0.81
 2020 160     6       0    8772   38936       0   38936   38907    29.3    0.00   877.2  3891.3    0.00  3891.3  3890.5    0.80
 2020 161     7       0    8772   38933       0   38933   38905    28.1    0.00   877.2  3891.1    0.00  3891.1  3890.3    0.79
 2020 162     8       0    8771   38930       0   38930   38903    27.3    0.00   877.1  3890.9    0.00  3890.9  3890.1    0.80
 2020 163     9       0    8771   38928       0   38928   38901    26.6    0.00   877.1  3890.7    0.00  3890.7  3889.9    0.81
 2020 164    10       0    8771   38925       0   38925   38899    26.0    0.00   877.0  3890.5    0.00  3890.5  3889.7    0.81
 2020 165    11       0    8770   38923       0   38923   38897    25.4    0.00   877.0  3890.3    0.00  3890.3  3889.5    0.81
 2020 166    12    1000    8770   39320       0   39320   38895   424.9    8.00   876.9  3898.1    0.00  3898.1  3889.3    8.82
 2020 167    13    1000    8769   39303       0   39303   38897   406.6    8.00   876.7  3898.2    0.00  3898.2  3889.2    8.99
 2020 168    14    1000    8770   39288       0   39288   38898   389.4    8.00   876.7  3898.1    0.00  3898.1  3889.0    9.11
 2020 169    15    1000    8772   39273       0   39273   38899   373.9    8.00   876.7  3898.0    0.00  3898.0  3888.9    9.17
 2020 170    16    1000    8773   39260       0   39260   38900   359.9    8.00   876.7  3897.9    0.00  3897.9  3888.7    9.20
 2020 171    17    1000    8774   39248       0   39248   38900   347.7    8.00   876.7  3897.8    0.00  3897.8  3888.6    9.19
 2020 172    18    1000    8775   39237       0   39237   38900   336.5    8.00   876.7  3897.6    0.00  3897.6  3888.4    9.17
 2020 173    19    1000    8776   39227       0   39227   38900   326.8    8.00   876.7  3897.4    0.00  3897.4  3888.3    9.13
 2020 174    20    1000    8777   39218       0   39218   38900   318.1    8.00   876.7  3897.2    0.00  3897.2  3888.1    9.08
 2020 175    21    1000    8778   39210       0   39210   38900   310.5    8.00   876.7  3897.0    0.00  3897.0  3888.0    9.03
 2020 176    22    1000    8778   39203       0   39203   38900   303.6    8.00   876.7  3896.9    0.00  3896.9  3887.9    8.98
 2020 177    23    1000    8779   39196       0   39196   38899   296.9    8.00   876.7  3896.7    0.00  3896.7  3887.7    8.92
 2020 178    24    1000    8779   39189       0   39189   38899   290.4    8.00   876.7  3896.4    0.00  3896.4  3887.6    8.85
 2020 179    25    1000    8780   39182       0   39182   38898   284.3    8.00   876.7  3896.2    0.00  3896.2  3887.4    8.78
 2020 180    26    1000    8780   39175       0   39175   38897   278.5    8.00   876.6  3896.0    0.00  3896.0  3887.3    8.71
 2020 181    27    1000    8780   39169       0   39169   38896   272.8    8.00   876.6  3895.7    0.00  3895.7  3887.1    8.63
 2020 182    28    1000    8781   39163       0   39163   38895   267.6    8.00   876.6  3895.5    0.00  3895.5  3886.9    8.56
 2020 183    29    1000    8781   39157       0   39157   38894   262.8    8.00   876.6  3895.2    0.00  3895.2  3886.7    8.48
 2020 184    30    1000    8781   39151       0   39151   38893   258.3    8.00   876.6  3895.0    0.00  3895.0  3886.6    8.41
 2020 185    31    1000    8781   39146       0   39146   38892   254.2    8.00   876.6  3894.7    0.00  3894.7  3886.4    8.34
 2020 186    32    1000    8782   39141       0   39141   38890   250.3    8.00   876.6  3894.5    0.00  3894.5  3886.2    8.27
 2020 187    33    1000    8782   39136       0   39136   38889   247.0    8.00   876.5  3894.3    0.00  3894.3  3886.1    8.20
 2020 188    34    1000    8782   39132       0   39132   38888   244.0    8.00   876.5  3894.0    0.00  3894.0  3885.9    8.15
 2020 189    35    1000    8782   39128       0   39128   38887   241.2    8.00   876.5  3893.8    0.00  3893.8  3885.7    8.09
 2020 190    36    1000    8782   39124       0   39124   38885   238.6    8.00   876.5  3893.6    0.00  3893.6  3885.6    8.04
