*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.5.035 -develop  MAY 07, 2021 11:55:39

*RUN   1        : 20 IRRIG, light rate,freq CRGRO047 UFGA7801    1
 MODEL          : CRGRO047 - Soybean
 EXPERIMENT     : UFGA7801 SB BRAGG, IRRIGATED & NON-IRRIGATED
 DATA PATH      :
 TREATMENT  1   : 20 IRRIG, light rate,freq CRGRO047
  
!                                                                                                 Soil water content (mm3/mm3) by soil depth (cm):
!                                                                                                 0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180
@YEAR DOY   DAS  SWTD  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT    MWTD  TDFD  TDFC   ROFD    SW1D    SW2D    SW3D    SW4D    SW5D    SW6D    SW7D    SW8D    SW9D
 2020 240    86   215   159      1     10    110     7    59   180    0.00   0.0   0.0   0.00   0.149   0.101   0.090   0.087   0.086   0.074   0.075   0.128   0.249
 2020 241    87   247   192      4     10    149     7    59   180    0.00   0.0   0.0   2.71   0.144   0.151   0.154   0.149   0.117   0.082   0.078   0.130   0.247
 2020 242    88   257   202      4     10    153     8    68   180    0.00   0.0   0.0   0.00   0.156   0.154   0.153   0.151   0.134   0.091   0.084   0.134   0.251
 2020 243    89   232   177      4     31    153     8    68   180    0.00   0.0   0.0   0.00   0.105   0.114   0.116   0.116   0.108   0.082   0.079   0.131   0.256
 2020 244    90   237   182      4     31    153     9    76   180    0.00   0.0   0.0   0.00   0.147   0.120   0.111   0.113   0.110   0.085   0.082   0.133   0.258
 2020 245    91   223   168      4     42    153     9    76   180    0.00   0.0   0.0   0.00   0.105   0.099   0.096   0.098   0.097   0.080   0.078   0.132   0.257
 2020 246    92   227   172      4     42    153    10    84   180    0.00   0.0   0.0   0.00   0.147   0.113   0.099   0.098   0.097   0.080   0.079   0.132   0.258
 2020 247    93   221   166      4     48    153    10    84   180    0.00   0.0   0.0   0.00   0.117   0.100   0.093   0.092   0.092   0.078   0.079   0.132   0.258
 2020 248    94   218   163      4     51    153    10    84   180    0.00   0.0   0.0   0.00   0.101   0.093   0.089   0.089   0.089   0.078   0.079   0.132   0.258
 2020 249    95   217   162      4     52    153    10    84   180    0.00   0.0   0.0   0.00   0.094   0.090   0.088   0.088   0.089   0.078   0.079   0.132   0.258
 2020 250    96   226   170      4     52    153    11    92   179    0.00   0.0   0.0   0.00   0.165   0.111   0.095   0.091   0.090   0.078   0.078   0.132   0.260
 2020 251    97   221   166      4     57    153    11    92   179    0.00   0.0   0.0   0.00   0.126   0.099   0.091   0.089   0.088   0.078   0.078   0.132   0.260
 2020 252    98   229   174      4     58    162    11    92   179    0.00   0.0   0.0   0.00   0.165   0.127   0.102   0.095   0.092   0.078   0.078   0.132   0.260
 2020 253    99   257   202      4     59    183    12   101   179    0.00   0.0   0.0   0.26   0.165   0.158   0.158   0.149   0.120   0.086   0.082   0.134   0.261
 2020 254   100   256   201      4     60    184    12   101   178    0.00   0.0   0.0   0.00   0.138   0.133   0.138   0.143   0.132   0.092   0.087   0.138   0.263
 2020 255   101   235   180      4     82    184    12   101   179    0.00   0.0   0.0   0.00   0.112   0.109   0.112   0.115   0.109   0.084   0.082   0.134   0.261
 2020 256   102   240   185      4     83    184    13   107   179    0.00   0.0   0.0   0.00   0.165   0.115   0.108   0.112   0.110   0.086   0.084   0.136   0.262
 2020 257   103   227   171      4     96    184    13   107   179    0.00   0.0   0.0   0.00   0.126   0.100   0.097   0.099   0.098   0.081   0.080   0.133   0.260
 2020 258   104   221   166      4    102    184    13   107   179    0.00   0.0   0.0   0.00   0.106   0.093   0.092   0.092   0.092   0.079   0.078   0.133   0.260
 2020 259   105   226   171      4    102    184    14   113   179    0.00   0.0   0.0   0.00   0.163   0.105   0.095   0.094   0.093   0.079   0.078   0.133   0.260
 2020 260   106   221   166      4    108    184    14   113   179    0.00   0.0   0.0   0.00   0.125   0.096   0.091   0.090   0.089   0.078   0.078   0.133   0.260
 2020 261   107   219   164      4    110    184    14   113   179    0.00   0.0   0.0   0.00   0.105   0.091   0.088   0.088   0.088   0.078   0.078   0.133   0.260
 2020 262   108   224   169      4    111    184    15   119   179    0.00   0.0   0.0   0.00   0.163   0.104   0.093   0.091   0.089   0.078   0.078   0.132   0.260
 2020 263   109   220   165      4    115    184    15   119   179    0.00   0.0   0.0   0.00   0.124   0.095   0.090   0.088   0.088   0.078   0.078   0.132   0.260
 2020 264   110   218   163      4    116    184    15   119   179    0.00   0.0   0.0   0.00   0.105   0.091   0.088   0.088   0.088   0.078   0.078   0.132   0.260
 2020 265   111   224   169      4    117    184    16   125   179    0.00   0.0   0.0   0.00   0.163   0.104   0.093   0.091   0.089   0.078   0.078   0.132   0.260
